编号,名称,描述,介绍,特性,属性,总种族值,生命,物攻,魔攻,物防,魔防,速度,阶段,进化等级,进化方式,身高,体重,蛋组,性别比例,进化链,有地区形态,有首领形态,有异色形态
72,伊贝粉粉,毛绒绒精灵,苔藓常把眼睛遮住，因此它对细微动作的反应显得迟钝。若有洛克替它把苔藓梳理开，它会明显变得开心。进食后体型会短暂膨大一圈，随后再慢慢恢复原状。,腐植循环-每回复1能量，同时回复5%生命。,草,607,117,91,89,110,110,90,2,28,,1.03-1.47,9.3-12.5,植物组-软体组,雄性 50% / 雌性 50%,伊贝儿进化链,否,否,是
73,白发懒人,睡不醒精灵,一直闭着眼睛在睡觉，即使是醒了也看不出来。在它睡着的时候也能对听到的声音有所反应，仿佛是个熟练的梦游者。,慢热型-初始能量为0，入场前己方精灵每成功应对1次，回复5能量。,普通,437,94,100,42,86,70,45,1,0,,0.72-1.03,19.5-23.5,拟人组-巨灵组,雄性 50% / 雌性 50%,白发懒人进化链,否,否,否
74,动力猿,睡不醒精灵,有一半的时间在睡觉，极少保持清醒，清醒时精力极其旺盛。会使劲捶打胸口努力让自己变得清醒，但是卖力地运动过后睡得更沉了。,慢热型-初始能量为0，入场前己方精灵每成功应对1次，回复5能量。,普通-武,583,125,134,56,114,94,60,2,18,,1.2-1.71,46.5-63.5,拟人组-巨灵组,雄性 50% / 雌性 50%,白发懒人进化链,否,否,否
75,瞌睡王,睡不醒精灵,比较难找到它的眼睛，主要靠鼾声来判断它是不是醒着。即使危险就在面前也能睡得香香的，或许是强大的体格给了它这样做的底气。,慢热型-初始能量为0，入场前己方精灵每成功应对1次，回复5能量。,普通-武,728,156,167,70,143,117,75,3,36,,1.61-2.31,124.5-136.5,拟人组-巨灵组,雄性 50% / 雌性 50%,白发懒人进化链,否,否,否
76,海盔虫,刺刺精灵,它静止时像不起眼的礁石，让人很难判断这是不是生物。它以底栖方式缓慢移动，活动量与食物多少直接相关，食物少时一天可能只挪动一点点。棘刺间分布感光细胞，使它对强光十分敏感，常本能地躲向阴影。,溶解扩散-每携带1个毒系技能进入战斗，水系技能使敌方获得1层中毒。,水-毒,327,71,25,59,46,66,60,1,0,,0.55-0.7,7.4-8.6,海洋组-巨灵组,雄性 50% / 雌性 50%,海盔虫进化链,是,是,是
77,刺盔虫,刺刺精灵,刺上会卡着贝壳，木片，海藻。长长的棘刺有大量感光细胞，对光线非常敏感，具有负趋光性，为了逃避光线会在日间抓着各种东西为自己遮挡光线。食物充足时移动距离也会稍微变大。,溶解扩散-每携带1个毒系技能进入战斗，水系技能使敌方获得1层中毒。,水-毒,435,94,33,79,61,88,80,2,26,,0.83-1.19,22.5-29.8,海洋组-巨灵组,雄性 50% / 雌性 50%,海盔虫进化链,是,是,是
78,千棘盔,刺刺精灵,平时它仍行动迟缓，但遇险时能短暂加速，脱离光照与威胁区域。受到轻微触碰时，棘刺会迅速聚合，并指向接触点，棘端的毒囊能造成刺痛与轻微麻木。,溶解扩散-每携带1个毒系技能进入战斗，水系技能使敌方获得1层中毒。,水-毒,545,118,41,99,76,111,100,3,42,,1.11-1.33,98.6-115.0,海洋组-巨灵组,雄性 50% / 雌性 50%,海盔虫进化链,是,是,是
79,菊花梨,拟态精灵,看起来像梨，闻起来像梨，尝起来味道也像梨。睡觉的时候会把身体藏在泥巴里，只把花朵留在地面上。小黄蜂想要来授粉的话它会非常苦恼。,无忧无虑-可获得的萌化层数不受限制。,萌,572,120,56,127,84,125,60,1,0,,0.63-0.9,4.2-5.8,植物组,雄性 50% / 雌性 50%,菊花梨进化链,否,否,是
80,小星光,狮精灵,草原晴天的微风里，常传来细碎噼啪——那是小星光在甩鬃毛，它们似乎总是处于炸毛的状态，其实 是毛发里的电流导致的。它们从来不怕打雷，长长的尾巴能起到导电的作用，被雷劈中也不会受伤。,电流刺激-携带的攻击技能获得迸发：威力+40。,电,494,60,81,85,72,88,108,1,0,,0.78-1.12,27.5-36.2,动物组,雄性 50% / 雌性 50%,小星光进化链,是,否,否
81,星光狮,狮精灵,头顶的晶体是身体的一部分，里面似乎蕴含着无尽的能量。从晶体中发射能量攻击对手，吃饱睡好的情况下发射的能量炮能炸掉整个聆风塔地。,电流刺激-携带的攻击技能获得迸发：威力+40。,电,617,75,101,106,90,110,135,2,36,,1.08-1.54,49.5-58.1,动物组,雄性 50% / 雌性 50%,小星光进化链,是,否,否
82,一窝蜂,蜂精灵,悬浮着的蜂巢就像身体的一部分一样灵活运动。可能是受某种信息素或者魔法影响，总会默契地做出协同的动作。,虫群鼓舞-队伍中每有1只其他的虫系精灵，自己入场时获得攻防速+10%。,虫-翼,228,87,32,29,27,27,26,1,0,,0.37-0.52,4.0-5.5,昆虫组-天空组,雌性 100%,一窝蜂进化链,否,是,否
83,黄蜂后,蜂精灵,在蜂后的下半身周围有能量波动，推测是用来建立两只小蜂的联系。战斗时，蜂后的两眼会变成红色，针刺也会变得锋利无比。,虫群鼓舞-队伍中每有1只其他的虫系精灵，自己入场时获得攻防速+10%。,虫-翼,305,116,43,39,36,36,35,2,21,雌性,0.81-1.16,31.7-39.21,昆虫组-天空组,雌性 100%,一窝蜂进化链,否,是,否
84,花魁蜂后,蜂精灵,穿着披风、戴着王冠的蜂后，总是带着它的两个小侍卫。高雅的女王形象令人印象深刻，它的外形曾经是许多服装设计的灵感。,虫群鼓舞-队伍中每有1只其他的虫系精灵，自己入场时获得攻防速+10%。,虫-翼,382,145,54,49,45,45,44,3,38,雌性,0.83-1.19,61.5-78.4,昆虫组-天空组,雌性 100%,一窝蜂进化链,否,是,否
85,小夜,猫精灵,身手敏捷的小猫，擅长在雾气中隐藏身形，也可以幻化成其他物体。常常以惊讶和恐惧为食，消化后会散发出一种奇怪的味道。,嫁祸-自己每失去25%生命，连击数+2。,恶,374,60,69,63,62,51,69,1,0,,0.51-0.73,4.5-7.6,拟人组-妖精组,雌性 100%,小夜进化链,否,否,是
86,紫夜,猫精灵,经常四处游历，偶尔幻化成其他精灵的样子之后偷偷潜入其他族群中，猜测是为了锻炼自己的幻化能力。通常情况下喜欢独自生活。,嫁祸-自己每失去25%生命，连击数+2。,恶,499,80,92,84,83,68,92,2,26,雌性,0.72-1.03,17.6-22.5,拟人组-妖精组,雌性 100%,小夜进化链,否,否,是
87,朔夜伊芙,猫精灵,喜欢在远处观察其他精灵的活动，有时会故意制造幻象来测试目标的反应。几乎不与同类接触，有些排斥社交，意外的是，被亲近的洛克抚摸的话耳朵尖会发光。,嫁祸-自己每失去25%生命，连击数+2。,恶,624,100,115,105,104,85,115,3,44,雌性,1.06-1.51,46.2-57.5,拟人组-妖精组,雌性 100%,小夜进化链,否,否,是
88,乖乖鹄,天鹅精灵,羽毛有很好的疏水性，可以毫不费力地浮在水面上，浮着的时候怔怔地看着水面，并不是在发呆，而是在检查自己的美丽，小小的乖乖鹄很早就已经意识到了美丽与优雅的重要性。,洁癖-离场后，自己的增益和减益会被更换入场的精灵继承。,翼-水,394,75,57,52,83,58,69,1,0,,0.46-0.67,4.2-5.5,天空组-两栖组,雌性 100%,乖乖鹄进化链,否,否,否
89,蓝珠天鹅,天鹅精灵,有强烈美意识的种族，时常梳理羽毛，用珍珠来打扮自己。优雅的举止和良好的外表是向同伴传递自身健康强壮的信号，拥有的珍珠数量也决定了自身在种群中的地位。,洁癖-离场后，自己的增益和减益会被更换入场的精灵继承。,翼-水,525,100,76,69,110,78,92,2,20,,0.88-1.03,14.08-18.1,天空组-两栖组,雌性 100%,乖乖鹄进化链,否,否,否
90,翠顶夫人,优雅精灵,柔弱温顺，羽毛软而蓬松。过于专注梳理羽毛可能会迷路，意识到迷路的时候通常已经游到了完全不认识的环境里。不过总能保持优雅淡定，似乎永远不会慌张惊恐。这或许是夫人为自己制定的礼仪规范。,洁癖-离场后，自己的增益和减益会被更换入场的精灵继承。,翼-水,656,125,95,86,138,97,115,3,40,,1.2-1.34,19.05-25.04,天空组-两栖组,雌性 100%,乖乖鹄进化链,否,否,否
91,黑羽夫人,优雅精灵,天鹅精灵中罕见的独居分支，对社交并不热衷。羽毛长而卷翘，摸起来有些刺手，似乎并不符合种族中普遍的审美，但自信令她看起来非常优雅。,孤傲-敌方精灵离场后，其增益和减益会被更换入场的精灵继承。,翼-恶,652,132,93,87,130,90,120,3,40,[恶]血脉,1.25-1.4,20.5-28.06,天空组-两栖组,雌性 100%,乖乖鹄进化链,否,否,否
92,锤头鹳,锤头精灵,三三两两地站在建筑的高处，有些神秘，被认为是王国的守护者。洛克靠近时，会发出尖锐刺耳的声音，头部奇怪的形状为工具设计提供了设计灵感。,快锤-携带的能耗小于3的技能，获得迅捷。,翼-水,567,128,77,75,101,81,105,1,0,,1.09-1.56,51.3-65.8,天空组-两栖组,雄性 50% / 雌性 50%,锤头鹳进化链,否,否,否
93,绿草精灵,恶作剧精灵,在森林里挥舞着手中的木棍，好像是在做施放巫术的练习。偶尔会和帽子交谈，晒太阳的时候可能会发出诡异的笑声。,木桶戏法-离场后，更换入场的精灵以木桶状态登场。,草-幻,504,87,39,96,92,118,72,1,0,,0.71-1.01,9.3-10.3,妖精组-拟人组,雄性 50% / 雌性 50%,绿草精灵进化链,否,否,否
94,魔草巫灵,恶作剧精灵,守护着森林的小巫师，头上的帽子似乎已经跟随它多年了。帽子的两侧是它树叶状的耳朵，能听到树木之间的对话。,木桶戏法-离场后，更换入场的精灵以木桶状态登场。,草-幻,629,109,48,120,115,147,90,2,32,,0.74-1.05,29.0-34.0,妖精组-拟人组,雄性 50% / 雌性 50%,绿草精灵进化链,否,否,否
95,记忆石,智慧精灵,埋在土地里露出上半截，就像是石碑一样。通过扫描分析它所散发的波动，能窥见一点点王国百年前的历史。,不移-携带的无额外效果的攻击技能，威力+30%。,地,607,112,108,97,141,79,70,1,0,,0.97-1.39,90.2-112.0,大地组,雄性 50% / 雌性 50%,记忆石进化链,否,否,否
96,咔咔羽毛,鸟仔精灵,跑得很快，手短且柔软，一般用尾巴来代替手的作用。尝试助跑之后短暂地浮空，但似乎一直没能学会飞翔。,咔咔冲刺-若先于敌方行动，行动后获得连击数+1。,翼-普通,378,58,68,66,61,53,72,1,0,,0.62-0.89,2.62-3.9,天空组,雄性 50% / 雌性 50%,咔咔羽毛进化链,否,否,否
97,咔咔雀,鸟仔精灵,仿照洛克号的帆进化出了大尾巴，曾经尝试练习滑翔，大尾巴让它们能够短暂浮空，也可以用来吓唬和拍打敌人。,咔咔冲刺-若先于敌方行动，行动后获得连击数+1。,翼-普通,505,78,91,88,81,71,96,2,18,,0.66-0.95,13.8-18.5,天空组,雄性 50% / 雌性 50%,咔咔羽毛进化链,否,否,否
98,咔咔鸟,芳香精灵,拥有两条漂亮的大尾巴，虽然无法飞翔，但是抓着大尾巴可以滑翔一段距离，滑翔时身体散发出香香的味道，是因为这个种族普遍有些恐高，紧张的时候会释放舒缓神经的信息素，为自己壮胆。,咔咔冲刺-若先于敌方行动，行动后获得连击数+1。,翼-普通,631,97,114,110,101,89,120,3,36,,0.7-1.0,27.5-33.72,天空组,雄性 50% / 雌性 50%,咔咔羽毛进化链,否,否,否
99,小草虫,虫仔精灵,果树分叉越多的地方，越容易找到它们，常常被误认为是未熟的青葡萄。肤表黏糊糊的，睡觉时缩成一团挂在树上。常观察到许多只挤在一起，目前推测是畏寒的原因。,花精灵-回合结束时，己方队伍获得1次随机奉献。,虫-草,323,73,40,43,50,57,60,1,0,,0.47-0.67,2.1-3.4,昆虫组-拟人组,雄性 20% / 雌性 80%,小草虫进化链,否,否,是
100,草衣虫,虫仔精灵,与果树是互利共生关系，在果树之间采蜜的同时完成授粉。尾部的花朵是虹吸式进食器官，能够用来吸取和储存花粉，是访花昆虫中最重要的种群。,花精灵-回合结束时，己方队伍获得1次随机奉献。,虫-草,429,97,53,57,67,75,80,2,20,,0.6-0.87,7.2-8.6,昆虫组-拟人组,雄性 20% / 雌性 80%,小草虫进化链,否,否,是
101,花衣蝶,蝶精灵,原本的尾巴脱落后变成手中的花朵，似乎蕴含着魔法能量，能当作魔杖使用。冬日寒冷的雨夜里，成千上万的花衣蝶聚集在枯树上休息，清晨又四散飞走，如同花开一夜的蜃景。,花精灵-回合结束时，己方队伍获得1次随机奉献。,虫-草,539,122,67,72,84,94,100,3,36,,0.92-1.32,19.6-23.4,昆虫组-拟人组,雌性 100%,小草虫进化链,否,否,是
102,绿翼鸟,鸟仔精灵,胆小谨慎的精灵，总是下意识地遮挡和隐藏自己。头部心型冠的原理不明，要小心对待，拉扯后，绿翼鸟的性格和样貌会大变，拉扯三次后变回本来的性格和样貌。,自由飘-自己每有1层萌化，获得连击数+3。,萌-翼,323,52,63,18,56,53,81,1,0,,0.49-0.61,3.6-4.8,天空组-妖精组,雄性 50% / 雌性 50%,绿翼鸟进化链,否,否,否
103,魔翼鸟,鸟仔精灵,巨大的翅膀能够给予敌人强有力的打击，旋转时更能提高打击效率。物理攻击和魔法攻击都很擅长，翅膀中蕴含着巨量魔力，翅膀内侧的脉络中是魔力流转的痕迹。,自由飘-自己每有1层萌化，获得连击数+3。,萌-翼,431,70,85,23,75,70,108,2,20,,0.78-1.12,8.85-13.8,天空组-妖精组,雄性 50% / 雌性 50%,绿翼鸟进化链,否,否,否
104,魔眷鸟,魔眷精灵,似乎并非是自然产生的物种，对魔法的共鸣极强。根据调查统计结果来看，即使是野生的魔眷鸟也曾经有过契约者，怀疑是被制作出之后再放生的。,自由飘-自己每有1层萌化，获得连击数+3。,萌-翼,539,87,106,29,94,88,135,3,32,,0.91-1.31,19.8-24.5,天空组-妖精组,雄性 50% / 雌性 50%,绿翼鸟进化链,否,否,否
105,阿米亚特,石头精灵,全身都是岩石，但眼睛周围没有岩石保护，是十分脆弱的柔软皮肤。喜欢吃不同口味的矿石，总是静静呆着，没什么存在感。,石头大餐-能量不足时，消耗5%生命，代替1能量。,地,360,64,95,47,67,42,45,1,0,,0.57-0.79,38.5-49.2,大地组-巨灵组,雄性 80% / 雌性 20%,阿米亚特进化链,否,是,否
106,阿米樱,石头精灵,石头组成的上身和双臂异常粗壮，腿部短小，经常会腿痛。重重挥拳的时候会把构成手部的石头都打散，不过很快就会用岩石修补好。,石头大餐-能量不足时，消耗5%生命，代替1能量。,地,480,86,127,62,89,56,60,2,30,,0.78-1.12,94.2-143.0,大地组-巨灵组,雄性 80% / 雌性 20%,阿米亚特进化链,否,是,否
107,罗隐,石头精灵,身体中结晶脉络光滑透亮，十分坚硬，似乎是某种矿石。长着凶狠的样貌，揣着不知如何表达的善意，示好的时候会展示一下由石头构成的肌肉。,石头大餐-能量不足时，消耗5%生命，代替1能量。,地-恶,601,107,159,78,112,70,75,3,50,,1.48-2.12,290.0-305.0,大地组-巨灵组,雄性 80% / 雌性 20%,阿米亚特进化链,否,是,否
108,风铃鲨,轻飘飘精灵,如果看见它们在水面上大量聚集，往往预示着快要下雨。它们的尾巴摆动时带起细小涟漪，薄膜边缘会在气流中轻轻振动，发出清亮悦耳的声响。,水翼推进-己方精灵每使用1次水系技能，自己入场时获得全技能能耗-1。,水-翼,373,54,59,59,63,63,75,1,0,,0.41-0.59,13.07-16.8,海洋组-天空组,雄性 50% / 雌性 50%,风铃鲨进化链,否,是,否
109,蓝蝶鲨,轻飘飘精灵,它的身体构造至今难以完全解释：体内几乎都是水，身体被一层透明的膜包裹住，里面的液体非常轻。飞行时，由于压力变化或者风势太大，液体有时会漏出来。,水翼推进-己方精灵每使用1次水系技能，自己入场时获得全技能能耗-1。,水-翼,496,72,78,78,84,84,100,2,20,,0.81-1.16,34.82-48.6,海洋组-天空组,雄性 50% / 雌性 50%,风铃鲨进化链,否,是,否
110,彩蝶鲨,轻飘飘精灵,常被目击从水面贴风飞过，轻盈得几乎不留波纹，它飞行时会借气流而动，并且发出清亮的声音。危险逼近时，它会迅速褪淡体色，降低存在感，再沿风向逃跑。,水翼推进-己方精灵每使用1次水系技能，自己入场时获得全技能能耗-1。,水-翼,621,90,98,98,105,105,125,3,40,,1.18-1.68,80.5-96.5,海洋组-天空组,雄性 50% / 雌性 50%,风铃鲨进化链,否,是,否
111,石石,计重精灵,古老的种族，似乎和现在的精灵们很少交流，但对洛克族十分友好。地系部族掌握建造之术后的创造的第一个物种。在古代也被用作计量单位，一个石石约等于三十千克。,石天平-若使用技能能耗高于敌方，回合结束敌方失去能耗之差的能量。,地,467,76,79,79,101,56,76,1,0,,0.35-0.5,61.0-75.0,大地组-魔力组,雄性 80% / 雌性 20%,石石进化链,否,否,否
